country,year,suicides_per_100k,ill_prev_total,ladder
Argentina,2011,7.659985249793513,8.981889500000001,6.242
Argentina,2012,8.449140932034933,8.999309160000001,6.562
Argentina,2014,8.22628155651635,9.03809837,6.574
Argentina,2015,7.740627467907505,9.054143999999999,6.65
Armenia,2011,2.5090193628888326,6.99177234,4.474
Armenia,2012,2.8070923497850266,7.007854040000001,4.316
Armenia,2014,2.069190151082989,7.042432705,4.35
Armenia,2015,2.647267679902409,7.05043248,4.36
Armenia,2016,2.7916282817777924,7.051972455,4.376
Australia,2011,11.45489086007937,12.7794078,7.345
Australia,2012,12.147516616790439,12.73245,7.35
Australia,2014,13.184305231578833,12.63569718,7.284
Australia,2015,13.610131117224505,12.607654150000002,7.313
Austria,2011,16.109774605742032,10.744443749999999,7.227
Austria,2012,15.88788630847701,10.766585820000001,7.369
Austria,2014,16.14019615128793,10.810492640000001,7.2
Austria,2015,15.220114981824677,10.8192298,7.119
Austria,2016,16.046219525376607,10.83714539,7.006
Bahrain,2011,1.6312297115804621,10.85622431,5.568
Bahrain,2012,1.5809908319173758,10.833239,5.312
Bahrain,2014,0.7413716693877753,10.78903765,5.96
Belarus,2011,24.27542549053795,8.34104564,5.566
Belarus,2014,19.546474634435455,8.3175008,5.813
Belgium,2011,20.16392654227481,10.269115050000002,7.113
Belgium,2012,19.401229785158673,10.269900649999999,6.967
Belgium,2014,17.950914882225362,10.2605063,6.937
Belgium,2015,17.57282982610899,10.25570926,6.929
Belize,2011,11.314466745753647,8.73733382,6.451
Belize,2015,8.129191614426189,8.80778093,5.956
Bosnia and Herzegovina,2011,0.13611694296591195,7.28742178,4.857
Bosnia and Herzegovina,2014,8.5655589547172,7.23134662,4.949
Brazil,2011,5.348029149710029,13.910728200000001,6.697
Brazil,2012,5.547137562518786,13.60275273,6.849
Brazil,2014,5.616382114400553,12.95259383,6.983
Brazil,2015,5.8418390756235565,12.818107540000002,6.952
Bulgaria,2011,10.812684483457655,7.029133850000001,3.889
Bulgaria,2012,12.529362100288923,7.009580580000001,3.981
Bulgaria,2014,10.517333699018895,6.980003280000001,4.218
Canada,2011,11.430176979488659,8.975149400000001,7.499
Canada,2012,11.910975560474201,9.01661152,7.477
Chile,2011,12.73978785330678,10.87703635,6.128
Chile,2012,11.45239012501643,10.86397255,6.587
Chile,2014,10.903970879997992,10.833044450000001,6.67
Chile,2015,11.095198067093351,10.826850640000002,6.705
Colombia,2011,4.805080973489658,7.4464295,6.202
Colombia,2012,4.9215131300117445,7.43180256,6.416
Colombia,2014,4.829425421041393,7.42319678,6.477
Colombia,2015,5.241577025098006,7.43488679,6.481
Costa Rica,2011,7.460723775201782,8.6743259,7.251
Costa Rica,2012,7.039282459366791,8.69858942,7.257
Costa Rica,2014,6.085827425009208,8.75042908,7.226
Croatia,2011,16.758060161435978,7.5784994900000004,5.623
Croatia,2012,19.140191046731665,7.57608749,5.661
Croatia,2014,17.913623583657614,7.577030189999999,5.759
Croatia,2015,18.467294521360962,7.5780151,5.488
Croatia,2016,19.147512379301286,7.5860881000000004,5.293
Cuba,2011,14.225857491704994,9.374249630000001,5.418
Cyprus,2011,3.7461601858095452,11.04999043,6.416
Cyprus,2012,4.420947924917567,11.07211941,6.466
Cyprus,2014,5.467074543561401,11.11517004,5.689
Cyprus,2015,5.024892059037457,11.12430732,5.546
Cyprus,2016,5.060842574056997,11.100248220000001,5.621
Denmark,2011,11.23156278901252,9.96186305,7.856
Denmark,2012,12.541411798679414,9.98004342,7.693
Denmark,2014,11.780866150256426,10.021836480000001,7.527
Denmark,2015,10.477312160741288,10.03112654,7.526
Ecuador,2011,6.758172916909148,9.93900912,5.425
Ecuador,2012,7.064344379260909,9.96049627,5.865
Ecuador,2014,5.134610386953053,10.003774450000002,5.975
Ecuador,2015,7.382676676466201,10.01472131,5.976
El Salvador,2011,8.682754527787948,9.08616344,5.956
El Salvador,2012,9.112228664259401,9.093847069999999,5.809
El Salvador,2014,6.77629399565931,9.10624277,6.13
Estonia,2011,17.447998162357624,8.219313759999999,5.33
Estonia,2012,18.935293229394286,8.16891603,5.426
Estonia,2014,19.40649932520139,8.08722841,5.429
Estonia,2015,15.682174594877157,8.06475178,5.517
Finland,2011,17.93162976296627,10.131181580000002,7.579
Finland,2012,17.08264438552378,10.037851990000002,7.389
Finland,2014,15.29086362177574,9.833152240000002,7.406
Finland,2015,14.107075209623225,9.787182410000002,7.413
France,2011,17.53823003029945,11.9323923,6.746
France,2012,16.336774105339444,11.87722718,6.764
France,2014,14.733902013396586,11.75983766,6.575
Georgia,2011,2.355684576214724,6.6898786359999995,3.892
Georgia,2012,2.4756599776238426,6.6992527399999995,4.187
Georgia,2014,5.589811559960814,6.71902391,4.297
Georgia,2015,5.551700208188758,6.723817339999999,4.252
Germany,2011,12.955024005010008,11.12986412,6.572
Germany,2012,12.605066367979921,11.144924730000001,6.672
Germany,2014,13.174323533559626,11.162717409999999,6.75
Germany,2015,12.910709301545344,11.16480846,6.994
Greece,2011,4.446008677266747,12.74904244,6.133
Greece,2012,4.819824888551037,12.57852447,5.435
Greece,2014,5.44287309714989,12.20016913,4.857
Greece,2015,5.120369332530336,12.13879228,5.033
Guatemala,2011,2.7578594769961486,9.350825319999998,6.277
Guatemala,2012,3.1495059212586027,9.29320064,5.965
Guatemala,2014,3.6709903571973994,9.200102730000001,6.123
Guatemala,2015,3.464625090744773,9.18785717,6.324
Guyana,2011,28.432523845558084,10.69719341,5.993
Hungary,2011,25.48706894599701,7.3079959500000005,4.943
Hungary,2012,24.84877841649282,7.290034350000001,4.775
Hungary,2014,20.45090147573705,7.26117449,4.8
Hungary,2015,19.894522818474513,7.2519246299999995,5.145
Hungary,2016,20.98834735536097,7.24940103,5.324
Iceland,2011,9.13782891953634,9.58251718,6.888
Iceland,2012,12.447937343139168,9.607637070000001,7.355
Iceland,2014,14.451246748469481,9.653358530000002,7.561
Iceland,2015,12.963695171671734,9.661733769999998,7.501
Iceland,2016,14.882447269629019,9.657722560000002,7.504
Ireland,2011,13.131543698293065,12.76080155,7.284
Ireland,2012,12.841149297077383,12.7424818,7.076
Ireland,2014,11.229093611130944,12.697034109999999,6.94
Israel,2011,5.866747376280124,9.96964397,7.199
Israel,2012,6.060298561313309,9.879052699999999,7.301
Israel,2014,5.185812269251717,9.68946513,7.278
Israel,2015,4.5501837369514835,9.641093960000001,7.267
Italy,2011,7.336140380058,10.67891801,6.578
Italy,2012,7.495366896624946,10.71919703,6.021
Italy,2014,7.137610584771854,10.7886903,5.948
Italy,2015,6.8619374232946635,10.8041984,5.977
Jamaica,2011,1.9223102170403574,8.30390829,6.208
Japan,2011,23.787905099770935,5.89993015,6.059
Japan,2012,21.814718184453554,5.8611514300000005,6.064
Japan,2014,20.251259623858857,5.7934582,5.987
Japan,2015,19.1831764904573,5.77583328,5.921
Kazakhstan,2011,22.897191542648628,6.480096559999999,5.594
Kazakhstan,2012,21.566142593870463,6.489281419999999,5.671
Kazakhstan,2014,20.2153836022971,6.51499157,5.855
Kazakhstan,2015,18.355247146500435,6.521098660000001,5.919
Kuwait,2011,1.2298654527194726,9.74899952,6.574
Kuwait,2012,1.6015109111510344,9.80464317,6.515
Kuwait,2014,1.8302773085449189,9.916873360000002,6.295
Kyrgyzstan,2011,9.670389595564187,6.334649196,4.828
Kyrgyzstan,2012,10.62371765240169,6.33480418,5.042
Kyrgyzstan,2014,9.04554756957321,6.33589093,5.286
Kyrgyzstan,2015,8.0256713705056,6.336632655,5.185
Latvia,2011,22.52239570723138,8.4822022,4.762
Latvia,2012,22.98706563376738,8.475321169999999,5.046
Latvia,2014,20.16851799934637,8.464910159999999,5.098
Latvia,2015,20.634255423290156,8.46013246,5.56
Lithuania,2011,35.34961568578428,9.44738632,5.588
Lithuania,2012,32.6664951705036,9.40430912,5.426
Lithuania,2014,33.43427127848699,9.31353683,5.833
Lithuania,2015,32.5353695052082,9.28937163,5.813
Lithuania,2016,33.61556228775576,9.27004256,5.902
Luxembourg,2011,11.249330153522676,10.27479677,7.051
Luxembourg,2012,10.178746776730188,10.26895507,7.054
Luxembourg,2014,12.763363432011278,10.26143558,6.946
Luxembourg,2015,11.901485454153246,10.2604345,6.871
Malta,2011,5.045115949377307,10.829415720000002,5.96
Malta,2012,6.263497837840546,10.851965589999999,5.964
Malta,2014,7.871594612877437,10.90658256,6.302
Malta,2015,8.279818915489837,10.9186048,6.488
Mauritius,2011,10.056658189528802,8.64595848,5.477
Mauritius,2012,9.741247065978737,8.58187557,5.477
Mauritius,2014,10.421877605469401,8.45627486,5.477
Mauritius,2015,9.005514145584527,8.42876383,5.648
Mauritius,2016,9.874731971560772,8.407610530000001,5.629
Mexico,2011,5.1627837417827855,8.59145967,6.74
Mexico,2012,4.920051899644291,8.5646049,7.088
Mexico,2014,5.482170615496286,8.4952631,7.187
Mexico,2015,5.451307581032192,8.47884238,6.778
Mongolia,2016,19.514769635756593,6.93703141,4.955
Netherlands,2011,10.461470025479068,11.43615005,7.512
Netherlands,2012,11.086206429583049,11.5869419,7.512
Netherlands,2014,11.566395639412239,11.900702279999999,7.378
Netherlands,2015,11.664446083293237,11.95993448,7.339
Netherlands,2016,13.244796852485688,11.87448758,7.377
New Zealand,2011,12.05243420055446,13.38302944,7.372
New Zealand,2012,13.322429486977265,13.4033167,7.221
Nicaragua,2011,7.126412318766548,8.85268744,5.115
Nicaragua,2012,6.017393695409052,8.860581490000001,5.507
Nicaragua,2014,5.756675151746697,8.880375899999999,5.828
Nicaragua,2015,5.751866663331192,8.88922892,5.992
Norway,2011,12.878771563327806,11.48946631,7.524
Norway,2012,10.9421162052741,11.47578084,7.655
Norway,2014,11.35238849696448,11.46036184,7.522
Norway,2015,12.082961202021172,11.471791560000002,7.498
Oman,2014,0.1927791538537379,9.711435680000001,6.853
Panama,2011,4.318888749924644,7.8884365899999995,6.863
Panama,2012,3.9761501677051783,7.90965443,7.143
Panama,2014,4.175883675220789,7.956795039999999,6.786
Panama,2015,3.069725750701432,7.9750152,6.701
Paraguay,2011,5.3114705126941475,11.319058089999999,5.398
Paraguay,2012,4.828557246409002,11.378689399999999,5.779
Paraguay,2014,6.448216736304005,11.51252485,5.878
Philippines,2011,2.908490032044102,8.00473862,4.825
Poland,2011,16.976671198870413,6.24945178,5.803
Poland,2012,17.68228455560737,6.24509533,5.822
Poland,2014,16.456075672434796,6.23562792,5.791
Poland,2015,15.01943589825302,6.23208493,5.835
Portugal,2011,10.106515920246968,14.29995099,5.327
Portugal,2012,10.7284626113078,14.14263585,5.101
Portugal,2014,12.288282298246667,13.802582079999999,5.102
Puerto Rico,2011,7.423823798707334,8.69608601,6.593
Puerto Rico,2015,6.513867476230868,8.7986437,7.039
Qatar,2011,2.696753809569269,9.515032929999999,6.569
Qatar,2012,2.146620146579211,9.513421730000001,6.666
Qatar,2014,2.4426184514509597,9.524611519999999,6.611
Qatar,2015,2.8035632439265687,9.53221888,6.375
Qatar,2016,3.072583921077971,9.52750329,6.375
Romania,2011,12.497720127060811,6.949714289999999,5.178
Romania,2012,13.102894642118722,6.968176830000001,5.033
Romania,2014,11.655617398159109,7.00709743,5.124
Romania,2015,11.810902364072973,7.0125346,5.528
Romania,2016,11.733320196180152,7.0048537500000005,5.825
Serbia,2011,18.202827322269897,7.160434349999999,4.564
Serbia,2012,18.100604411654633,7.149918700000001,4.813
Serbia,2014,16.672032885364338,7.13371859,5.123
Serbia,2015,15.695185893367912,7.127658020000001,5.177
Singapore,2011,8.553417201255241,6.1426143600000005,6.549
Singapore,2012,10.794140323824209,6.13310279,6.546
Singapore,2014,9.622239027259397,6.11076186,6.798
Singapore,2015,8.846190558775408,6.11066952,6.739
Slovakia,2012,11.159052258369387,7.178806210000001,5.969
Slovakia,2014,10.799881318271723,7.155442150000001,5.995
Slovenia,2011,22.370087644460625,7.617071,5.922
Slovenia,2012,22.61062247043661,7.588340869999999,6.06
Slovenia,2014,19.879228562967455,7.54340368,5.848
Slovenia,2015,21.589741700739577,7.532408859999999,5.768
South Africa,2011,0.764847130239088,8.856904400000001,5.101
South Africa,2012,1.0256030967401069,8.88533946,4.963
South Africa,2014,1.185799947493596,8.945935230000002,4.642
South Africa,2015,0.9712364888309819,8.972345720000002,4.459
Spain,2011,7.2864634853890715,11.465387929999999,6.761
Spain,2012,7.985313881839783,11.52422106,6.322
Spain,2014,8.85387063446846,11.608311320000002,6.329
Spain,2015,8.156332174367718,11.64104888,6.361
Suriname,2012,27.312080564477046,10.22993277,6.269
Suriname,2014,25.718252525110458,10.25408077,6.269
Sweden,2011,12.515977004818652,10.71484749,7.379
Sweden,2012,12.89542669391319,10.71039992,7.48
Sweden,2014,12.595281991687115,10.69569427,7.364
Sweden,2015,12.968312991440913,10.692980829999998,7.291
Sweden,2016,13.90623407859262,10.687020519999999,7.284
Switzerland,2011,13.753584710908694,12.33237145,7.499
Switzerland,2012,13.665822712149719,12.31520138,7.65
Switzerland,2014,13.214469690654642,12.26897766,7.587
Switzerland,2015,13.59518185741353,12.25431906,7.509
Thailand,2011,6.426953631280244,6.96698747,5.804
Thailand,2012,6.59962103104629,6.97127653,6.371
Thailand,2014,6.463862014602931,6.98081374,6.455
Thailand,2015,6.864042466239195,6.9855633599999996,6.474
Thailand,2016,7.703678610387362,6.9872646,6.424
Trinidad and Tobago,2011,11.235174015871502,9.00545629,6.263
Turkey,2011,1.687382743986248,9.841015749999999,5.234
Turkey,2012,2.102167089257826,9.854456939999999,5.345
Turkey,2014,2.279666754169027,9.882494000000001,5.332
Turkey,2015,2.131316236355959,9.886679879999999,5.389
Turkmenistan,2011,2.8101454898786127,6.25948363,6.568
Turkmenistan,2012,2.9423943158059025,6.272262410000001,5.628
Turkmenistan,2014,2.8267217489426293,6.304845879999999,5.548
Turkmenistan,2015,2.72177671035016,6.3154023399999994,5.658
Ukraine,2011,20.83120960470824,8.055116439999999,5.089
Ukraine,2012,21.106379250504503,8.01238656,5.057
Ukraine,2014,19.691497402701874,7.9320704950000005,4.681
Ukraine,2015,18.772874638689085,7.91547672,4.324
United Kingdom,2011,7.460702832512809,10.225288149999999,6.936
United Kingdom,2012,7.442810193434349,10.279202940000001,6.883
United Kingdom,2014,7.9048405129085815,10.391648069999999,6.867
United Kingdom,2015,8.038250678888387,10.41190913,6.725
United States,2011,13.608721527471177,11.701390270000001,7.27
United States,2012,13.863469644110296,11.50251137,7.082
United States,2014,14.364076596071529,11.107601429999999,7.119
United States,2015,14.725812872351929,11.0174498,7.104
Uruguay,2012,19.004174890440456,9.48900476,6.355
Uruguay,2014,18.598679210547434,9.624441390000001,6.485
Uruguay,2015,19.74429570060126,9.65622084,6.545
Uzbekistan,2011,6.313022198087316,6.066190669999999,5.225
Uzbekistan,2012,6.95554478214741,6.069979000000001,5.623
Uzbekistan,2014,7.670197752342824,6.07891054,6.003
